countries,Region:,image,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North Macedonia,,,509765,514429,519135,523884,528677,533513,538394,543319,548289,553305,558367,563474,568629,573830,579079,584376,589721,595115,600558,606051,611595,617189,622834,628530,634279,640080,645934,651841,657803,663818,669889,676016,682198,688436,694732,701085,707496,713966,720495,727083,733732,740441,747212,754044,760939,767897,774918,782003,789153,796369,803650,810997,818412,825895,833445,841065,848755,856514,864344,872246,880220,888267,896387,904582,912851,921195,929616,938114,946373,954704,963109,971588,980142,988771,997476,1006257,1015116,1024053,1033068,1042163,1051338,1060594,1069931,1079350,1088852,1098438,1108109,1117864,1127705,1137633,1147649,1157752,1167945,1178227,1188600,1199064,1209620,1220269,1231012,1242400,1251437,1282535,1311489,1339586,1361963,1379146,1395504,1411822,1428609,1445691,1462373,1481115,1497344,1511858,1529508,1547983,1567712,1588644,1610542,1633508,1656789,1679018,1701503,1725235,1749334,1774013,1799338,1825303,1851984,1879359,1907035,1935204,1958278,1974443,1988692,2001507,2012925,2023098,2031937,2039429,2044181,2036691,2018024,1996896,1982458,1983971,1994230,2004240,2012844,2023781,2037940,2053391,2064739,2071150,2075879,2078667,2081081,2083494,2086228,2089793,2093828,2097110,2099486,2102220,2105293,2107965,2110194,2111982,2113497,2114175,2111078,2103329
Norway,Europe,,1394054,1412035,1430868,1450572,1470547,1490797,1511326,1532137,1553236,1572906,1591113,1607824,1623003,1636614,1650339,1664179,1678136,1692209,1706400,1721316,1736968,1753370,1770533,1788471,1806590,1824893,1843382,1862057,1880922,1897622,1912126,1924402,1934418,1942141,1949896,1957681,1965498,1973345,1981224,1991972,2005632,2022248,2041863,2064522,2087432,2110597,2134019,2157701,2181645,2203895,2224417,2243179,2260150,2275294,2290541,2305889,2321340,2336895,2352554,2369920,2389021,2409884,2432539,2457013,2481734,2506703,2531923,2557397,2583126,2607155,2629454,2649993,2668743,2685672,2702708,2719852,2737105,2754467,2771940,2789197,2806235,2823051,2839642,2856004,2872461,2889012,2905659,2922401,2939240,2958350,2979763,3003513,3029636,3058165,3086963,3116032,3145375,3174994,3204892,3234985,3281428,3296349,3328323,3361502,3394899,3429096,3461610,3492505,3523483,3553264,3581521,3609997,3639139,3666801,3694674,3723510,3753077,3784346,3816299,3847527,3875550,3902912,3933047,3960705,3985381,4007471,4026317,4043365,4058804,4072652,4085778,4099860,4114936,4128576,4140232,4152640,4167465,4187034,4209655,4227072,4241637,4261886,4286560,4312138,4336745,4359327,4381511,4405334,4431672,4462148,4491204,4514019,4538435,4565167,4592284,4623691,4661081,4709582,4768654,4829195,4889747,4953565,5019058,5080667,5137926,5190357,5236591,5277396,5312321,5348285,5379836,5403021
Oceania,Europe,,1906318,1905382,1963814,2031729,2104530,2182608,2266382,2356312,2452882,2543999,2682440,2706548,2776129,2836534,2899226,2964322,3031959,3102271,3175409,3247385,3373849,3387192,3454664,3520249,3587868,3657609,3729570,3803838,3880524,3962037,4106682,4140120,4236977,4339235,4444741,4553595,4665914,4781818,4901429,5014070,5179952,5216678,5305691,5385844,5467391,5550358,5634767,5720652,5808037,5896404,6049032,6076131,6167515,6259926,6353914,6449520,6546769,6645693,6746323,6839858,6992770,7007324,7082081,7151382,7224692,7301983,7383233,7468413,7555613,7653152,7829777,7878061,8004880,8140937,8279924,8421892,8566874,8714921,8866077,9009340,9217159,9272466,9392474,9504882,9620825,9740373,9863614,9990631,10121536,10268662,10508525,10613215,10811502,11027725,11250125,11478907,11714287,11956492,12205760,12465911,12578030,12910351,13224304,13522000,13819174,14140071,14479634,14820933,15162130,15506698,15859743,16213869,16557077,16899883,17248725,17609458,17976052,18320665,18657991,19020565,19480682,20023056,20481057,20852770,21213318,21537776,21820768,22089877,22356009,22623402,22920632,23268830,23646422,24011447,24357734,24704912,25069550,25459682,25868614,26286142,26744211,27214477,27637470,28038745,28455275,28905477,29379071,29846703,30299542,30753529,31223133,31714944,32230343,32756845,33278789,33813365,34395875,35044174,35745111,36448615,37103109,37730469,38383766,39057783,39729340,40403644,41101240,41817267,42540030,43278474,43933757,44492065
Oman,,,346557,347157,347758,348359,348961,349563,350167,350770,351375,351980,352585,353191,353798,354405,355013,355621,356230,356839,357449,358060,358672,359285,359898,360512,361127,361742,362358,362975,363592,364209,364827,365446,366065,366685,367305,367926,368547,369169,369792,370415,371038,371662,372286,372911,373537,374163,374790,375417,376044,377248,379033,381405,384370,387934,391530,395159,398821,402516,406246,409338,411787,413588,414735,415220,415706,416192,416677,417163,418162,419164,420168,421174,422183,423194,424208,425224,426242,427263,428287,429313,430341,431372,432405,433441,434479,435520,436563,437608,438657,439707,440760,441816,442874,443935,444999,446064,447133,448204,449277,452000,457321,463731,470407,477409,484747,492428,500453,508861,517715,527035,536556,546456,557143,568611,580834,593816,607540,622048,637385,653603,670697,688810,708057,728604,754684,787204,824089,866134,912754,963355,1017473,1075632,1138303,1204630,1273313,1353298,1443449,1533352,1623437,1713845,1804528,1895193,1985234,2071874,2133678,2172681,2209965,2245591,2279727,2312608,2344261,2374655,2403663,2431603,2468860,2515202,2560652,2605706,2651032,2697543,2881915,3206883,3535585,3816688,4009272,4191784,4398080,4541853,4601160,4602769,4543406,4520474
Pakistan,Asia,https://public.flourish.studio/country-flags/svg/pk.svg,15066213,15104030,15141933,15179922,15217996,15256157,15294404,15332737,15371157,15409664,15448258,15486939,15525707,15564562,15603505,15642536,15681655,15720861,15760156,15806419,15859694,15920025,15987458,16062035,16136951,16212205,16287801,16363738,16440019,16516645,16593617,16670938,16748608,16826629,16905003,16983731,17062815,17142256,17222055,17302215,17382737,17463622,17544872,17626489,17708473,17790828,17873554,17956652,18040125,18123975,18208202,18292808,18377795,18463165,18548919,18635060,18721587,18808504,18895812,19013053,19160708,19339263,19549211,19791051,20035869,20283702,20534587,20788561,21063008,21363660,21691279,22046644,22430553,22843823,23264707,23693346,24129882,24574462,25027232,25488344,25957952,26436212,26923284,27419330,27924516,28439009,28962981,29496607,30040065,30593536,31157204,31731258,32315888,32911289,33517661,34135204,34764126,35404635,36056945,36768765,37696264,38215788,38816780,39488232,40224096,41023128,41884992,42808516,43794992,44843640,45954228,47060912,48161844,49325052,50552600,51841628,53199420,54629796,56124740,57676804,59290872,60878784,62509568,64285632,66149172,68127000,70230928,72451112,74789328,77407344,80624056,84270208,87828200,91080376,94003880,97121552,100618520,104251096,107967840,111670392,115414072,119203576,122375176,125546624,129245136,133117480,137234816,141330272,145476112,149694464,154369920,159217728,163262800,166876672,170648624,174372096,178069984,181924528,185931952,190123232,194454496,198602736,202205856,205337552,208251632,210969296,213524848,216379648,219731488,223293280,227196736,231402112
Palestine,,,169606,170395,171276,172249,173316,174477,175734,177087,178538,180087,181736,183486,185273,187097,188959,190860,192800,194779,196814,198905,201054,202809,204973,207188,209456,211780,214161,216601,219102,221667,224298,226998,229768,232611,235491,238408,241364,244359,247393,250473,253599,256780,260014,263320,266699,270161,273708,277341,281062,284871,288765,292744,296804,300946,305154,309431,314208,319062,323996,329011,333128,339424,345841,350786,352216,350132,344537,339031,337802,340922,348418,356078,364739,374447,385249,396363,407797,419562,431666,444119,456931,471747,492401,519142,554360,587832,616560,635829,658399,683032,709412,730581,752351,776312,803867,833983,861062,884293,902893,921885,944814,953416,962914,973337,984740,997124,1010500,1024874,1040256,1056630,1073847,1091756,1110236,1128444,1141754,1148518,1147758,1137361,1123472,1114952,1118247,1136151,1166855,1195405,1225369,1263711,1300918,1337324,1374130,1412636,1453631,1497550,1546097,1604103,1674190,1731093,1775272,1862775,1963258,2041388,2124623,2214277,2310004,2410651,2515166,2623149,2734003,2847222,2950926,3044490,3139950,3230085,3309493,3384195,3460130,3541198,3627671,3717882,3808824,3899401,3992283,4087747,4184161,4281800,4380473,4484615,4593855,4700954,4805549,4909775,5019407,5133393
Panama,,,109736,111617,113910,116628,119410,122259,125176,128162,131220,134350,137555,140837,144197,147636,151158,154764,158456,162235,166105,169686,172966,175933,178574,180878,183212,185576,187970,190395,192852,195339,197859,200412,202997,205615,208268,210954,213675,216431,219222,222050,224914,227814,230752,233728,236742,239795,242887,246019,249191,252825,256935,261537,266644,272275,278024,283894,289888,296009,302259,309854,318871,329389,341494,355272,369606,384519,400032,416172,433216,447644,459331,468147,473954,476611,479283,481970,484672,487389,490121,495358,503191,513713,527021,543213,559903,577106,594837,613113,631951,650604,669047,687254,705199,722852,740946,759494,778506,797994,817970,838519,861090,882717,905592,929511,954310,980011,1006765,1034748,1064038,1094750,1126996,1160833,1196295,1233266,1271465,1310561,1350474,1391075,1432269,1473973,1516194,1559084,1602657,1646584,1690680,1734882,1779041,1823150,1867313,1911822,1956989,2003091,2050251,2098504,2147580,2197070,2246965,2297235,2347826,2398536,2449966,2502048,2554387,2607502,2661393,2716071,2771607,2827994,2885179,2943124,3001738,3061029,3120993,3181620,3243310,3305875,3368577,3431619,3495284,3559339,3623622,3688679,3754871,3821557,3888795,3957102,4026338,4096071,4165258,4232538,4294391,4351264
Papua New Guinea,,,763498,768805,774115,779430,784748,790071,795397,800728,806062,811400,816742,822088,827438,832792,838149,843511,848876,854246,859619,864997,870378,875763,881153,886546,891943,897344,902749,908158,913571,918988,924409,929834,935262,940695,946132,951573,957017,962466,967919,973375,978836,984300,989769,995242,1000718,1006199,1011683,1017172,1022665,1028161,1033662,1039166,1044675,1050188,1055704,1061225,1066750,1072278,1077811,1073096,1058467,1034244,1000735,958234,917518,878513,841149,805357,767570,739114,719608,708688,706008,711239,716508,721816,727164,732551,737978,750009,769030,795446,829683,872189,916874,963847,1013227,1065137,1119707,1177072,1237376,1300770,1367412,1437468,1511112,1588530,1669915,1755468,1845405,1927846,1542863,1574119,1608477,1648005,1690230,1734929,1782057,1831056,1881524,1933071,1985668,2035681,2082569,2129236,2175418,2222184,2271502,2322651,2375364,2430929,2489072,2549326,2610707,2672152,2733320,2794470,2855845,2917577,2979620,3041904,3104793,3169080,3235271,3303686,3374469,3447582,3522921,3600351,3679653,3764116,3864983,3991006,4136651,4291592,4451695,4616444,4785908,4960444,5138838,5321393,5508300,5698496,5892600,6090987,6293174,6498828,6708217,6921069,7137999,7358887,7583269,7806637,8026548,8245634,8464159,8682172,8899176,9114803,9329233,9542492,9749641,9949438
Paraguay,,,344865,349896,353259,354896,356541,358193,359853,361520,363196,364879,366569,368268,369975,371689,373412,375142,376880,378627,380381,378964,374476,367016,356680,343559,330920,318746,307020,295726,284847,281232,285254,297333,317936,347586,380001,415440,454183,496540,542846,576652,597420,604539,597321,574988,553491,532797,512877,493702,475243,462812,456307,455633,460702,471434,482415,493653,505152,516919,528960,541305,553963,566940,580244,593885,607846,622136,636761,651731,667060,682718,698712,715050,731737,748782,766225,784073,802338,821028,840153,859775,879905,900558,921746,943484,965735,988510,1011822,1035684,1060108,1086266,1114229,1144076,1175887,1209743,1244573,1280407,1317272,1355199,1394217,1433568,1504818,1539192,1574425,1610544,1647636,1685755,1724944,1765325,1807027,1850149,1894835,1941220,1989376,2039395,2090847,2143163,2195951,2248894,2301896,2355132,2408789,2463782,2521512,2583164,2648085,2714669,2782626,2852437,2924373,2999426,3078914,3163309,3251679,3343279,3437897,3535505,3636030,3739057,3844442,3951286,4059198,4168005,4277057,4386206,4495301,4603924,4711656,4818292,4923454,5026035,5123817,5211540,5286515,5353260,5416327,5476881,5534682,5590148,5645155,5702579,5768618,5843938,5923327,6005656,6090727,6177954,6266623,6355406,6443337,6530029,6618700,6703802
Peru,Americas,,3227122,3226748,3179501,3084605,2992542,2903227,2816577,2732513,2650958,2589122,2546502,2522613,2516983,2529156,2541387,2553678,2566028,2578437,2590907,2607585,2628547,2653867,2683622,2717888,2752592,2787739,2823335,2859385,2895895,2932872,2970320,3008247,3046657,3085558,3124956,3164856,3205266,3246191,3287640,3326989,3364190,3399191,3431939,3462381,3493093,3524077,3555336,3586872,3618687,3653716,3692024,3733680,3778753,3827311,3876494,3926308,3976762,4027865,4079624,4132020,4185061,4238755,4293109,4348132,4403861,4460303,4517469,4575367,4633132,4694537,4759673,4828635,4901517,4978418,5056524,5135856,5216433,5298274,5381399,5466477,5553548,5642656,5733842,5827151,5921978,6018348,6116287,6215819,6316971,6420892,6527645,6637298,6749915,6865567,6983200,7102849,7224548,7348332,7474237,7617050,7678967,7897488,8121460,8349467,8583405,8825900,9077051,9336911,9602512,9879211,10172210,10478101,10792101,11112671,11442302,11781584,12127988,12481624,12843253,13213738,13562372,13911970,14292440,14674787,15057182,15441500,15826812,16224614,16638483,17059192,17492406,17932348,18374372,18826906,19285646,19746614,20208446,20671362,21143804,21624308,22109102,22583004,23047250,23513888,23983260,24449060,24907304,25365384,25818228,26252238,26654440,27014912,27334510,27623344,27893914,28147260,28381080,28600380,28806184,29009326,29229576,29477722,29749592,30038810,30353956,30711864,31132776,31605488,32203946,32824864,33304768,33715464
Philippines,,,3616131,3668773,3723246,3779589,3836771,3894805,3953702,4013476,4074140,4135705,4198186,4261596,4325947,4391255,4457533,4524794,4593053,4662326,4732625,4803813,4875900,4948896,5022813,5097662,5173608,5250664,5328849,5408176,5488664,5560187,5622571,5675638,5719209,5753101,5787172,5821421,5855850,5890460,5925250,5965587,6011548,6063210,6120654,6183957,6247889,6312457,6377665,6443521,6510030,6586321,6672632,6769206,6876290,6994137,7113973,7235831,7359745,7485749,7613878,7744233,7876852,8011774,8149037,8288682,8430682,8575077,8721906,8871210,9042204,9219611,9403619,9594422,9792220,9997216,10206504,10420173,10638315,10861023,11088394,11325615,11573008,11830908,12099658,12379611,12666041,12959099,13258937,13565712,13879585,14204741,14541537,14890346,15251548,15625536,16008694,16401248,16803428,17215470,17637616,18092132,18469880,19301122,20167868,21073750,22025360,23027910,24079346,25175940,26302696,27460374,28486868,29342412,30185988,31043710,31916622,32805534,33704756,34616856,35544976,36477168,37435588,38421740,39412484,40406232,41388328,42394428,43474372,44646516,45890740,47154240,48419544,49679328,50938528,52219692,53514960,54812656,56109844,57415180,58755920,60127352,61558900,63039752,64543524,66083324,67650288,69250472,70944968,72718832,74491928,76249064,77958224,79626088,81285576,82942840,84607504,86261248,87901832,89561376,91252328,92946952,94636704,96337912,98032320,99700112,101325208,103031360,104875272,106738496,108568832,110380800,112190984,113880336
Poland,Europe,,13045605,13182802,13336399,13506702,13679179,13853857,14030764,14209929,14391380,14575146,14761257,14949743,15140635,15333962,15529756,15728048,15928871,16132256,16338236,16554255,16780549,17017361,17264935,17523523,17785982,18052370,18322747,18597170,18875702,19158403,19445336,19736564,20032152,20332165,20636668,20945730,21259418,21577801,21900950,22195954,22462150,22698862,22905402,23081071,23258085,23436454,23616188,23797298,23979794,24160762,24340168,24517983,24694172,24868705,25044468,25221471,25399722,25579229,25760003,25848341,25844639,25749284,25562652,25285116,25010589,24739041,24470438,24204749,23949906,23824054,23827906,23962204,24227714,24625232,25029272,25439942,25857349,26281606,26712823,27095139,27427399,27708431,27937039,28112004,28288066,28465230,28643504,28822895,29003408,29037679,28927566,28674887,28281421,27748908,27226421,26713772,26210776,25717250,25233018,24935393,24786240,25242280,25704542,26168166,26630358,27099200,27582030,28076088,28583998,29068128,29509902,29913228,30271926,30608320,30927880,31224086,31504832,31765962,32016872,32262060,32482946,32710744,32979398,33270012,33578680,33899768,34229712,34561580,34870696,35188364,35521432,35851104,36188644,36536140,36876560,37179164,37436804,37654412,37812084,37939020,38064252,38167388,38252284,38319300,38375464,38401980,38401408,38396120,38379992,38354952,38504432,38662860,38647476,38621536,38596040,38575912,38547180,38521868,38522884,38555288,38597356,38620848,38625872,38607352,38581880,38553148,38532108,38532816,38521464,38493600,38428368,38307724
Portugal,Europe,,3820021,3835328,3852025,3870122,3888304,3906571,3924924,3943364,3961890,3983037,4006839,4033326,4062532,4094491,4126701,4159164,4191883,4224859,4258094,4290265,4321353,4351343,4380217,4407958,4435874,4463967,4492238,4520688,4549318,4580306,4613685,4649490,4687754,4728513,4769627,4811099,4852931,4895126,4937689,4979135,5019444,5058596,5096570,5133344,5170383,5207690,5245266,5283113,5321233,5361041,5402560,5445815,5490832,5537634,5584835,5632439,5680448,5728866,5777697,5819765,5854996,5883312,5904640,5918901,5933196,5947525,5961890,5976289,5990856,6016813,6054323,6103551,6164663,6237828,6311862,6386774,6462575,6539276,6616887,6696161,6777129,6859819,6944260,7030484,7117779,7206158,7295634,7386220,7477932,7566434,7651645,7733482,7811861,7886695,7962246,8038521,8115526,8193270,8271758,8346348,8416952,8472651,8523679,8573396,8619179,8665454,8707080,8748070,8799094,8849594,8882476,8896923,8905438,8907704,8905557,8899092,8881846,8856646,8821535,8768163,8683627,8700518,8833265,8957960,9079609,9202708,9330205,9459002,9578264,9686181,9785251,9856749,9904426,9943827,9974817,9996891,10011029,10020209,10023309,10020318,10007347,9986418,9978745,9992104,10018101,10051250,10087653,10130547,10179419,10233373,10300632,10371815,10430913,10473345,10501523,10523314,10543946,10565547,10580963,10591341,10588401,10564820,10522085,10464537,10408379,10365436,10332751,10307528,10289833,10289921,10298186,10290109
